seed,fault_type,method,selection_fraction,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio1_per_10000
101,drift,Confidence difference,0.525,1436,40,14,0.35,29,13,0.5517241379310345,0.5250696378830083,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Confidence difference,0.55,1436,40,14,0.35,29,13,0.5517241379310345,0.5501392757660167,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Confidence difference,0.5750000000000001,1436,40,14,0.35,29,13,0.5517241379310345,0.575208913649025,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Confidence difference,0.6000000000000001,1436,40,14,0.35,29,13,0.5517241379310345,0.6002785515320335,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Confidence difference,0.625,1436,40,14,0.35,29,13,0.5517241379310345,0.6253481894150418,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Confidence difference,0.65,1436,40,14,0.35,29,13,0.5517241379310345,0.6497214484679665,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Confidence difference,0.675,1436,40,14,0.35,29,15,0.48275862068965514,0.674791086350975,0.5076601671309192,-6.963788300835654,-6.963788300835654
101,drift,Confidence difference,0.7000000000000001,1436,40,15,0.375,29,15,0.48275862068965514,0.6998607242339833,0.5083565459610028,0.0,0.0
101,drift,Confidence difference,0.7250000000000001,1436,40,15,0.375,29,15,0.48275862068965514,0.7249303621169917,0.5083565459610028,0.0,0.0
101,drift,Confidence difference,0.75,1436,40,15,0.375,29,15,0.48275862068965514,0.75,0.5083565459610028,0.0,0.0
101,drift,Confidence difference,0.775,1436,40,16,0.4,29,15,0.48275862068965514,0.7750696378830083,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Confidence difference,0.8,1436,40,17,0.425,29,18,0.3793103448275862,0.8001392757660167,0.5076601671309192,-6.963788300835654,-6.963788300835654
101,drift,Confidence difference,0.8250000000000001,1436,40,20,0.5,29,18,0.3793103448275862,0.825208913649025,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Confidence difference,0.8500000000000001,1436,40,22,0.55,29,19,0.3448275862068966,0.8502785515320335,0.5104456824512534,20.891364902506965,20.891364902506965
101,drift,Confidence difference,0.875,1436,40,22,0.55,29,20,0.31034482758620685,0.8746518105849582,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Confidence difference,0.9,1436,40,24,0.6,29,23,0.2068965517241379,0.8997214484679665,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Confidence difference,0.925,1436,40,31,0.775,29,24,0.1724137931034483,0.924791086350975,0.5132311977715878,48.74651810584958,48.74651810584958
101,drift,Confidence difference,0.9500000000000001,1436,40,32,0.8,29,25,0.13793103448275867,0.9498607242339833,0.5132311977715878,48.74651810584958,48.74651810584958
101,drift,Confidence difference,0.9750000000000001,1436,40,36,0.9,29,27,0.06896551724137934,0.9749303621169917,0.5146239554317549,62.674094707520894,62.674094707520894
101,drift,Confidence difference,1.0,1436,40,40,1.0,29,29,0.0,1.0,0.516016713091922,76.6016713091922,76.6016713091922
101,drift,Entropy difference,0.0,1436,40,0,0.0,29,0,1.0,0.0,0.5083565459610028,0.0,0.0
101,drift,Entropy difference,0.025,1436,40,0,0.0,29,2,0.9310344827586207,0.025069637883008356,0.5069637883008357,-13.927576601671309,-13.927576601671309
101,drift,Entropy difference,0.05,1436,40,0,0.0,29,2,0.9310344827586207,0.05013927576601671,0.5069637883008357,-13.927576601671309,-13.927576601671309
101,drift,Entropy difference,0.07500000000000001,1436,40,0,0.0,29,2,0.9310344827586207,0.07520891364902507,0.5069637883008357,-13.927576601671309,-13.927576601671309
101,drift,Entropy difference,0.1,1436,40,0,0.0,29,3,0.896551724137931,0.10027855153203342,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.125,1436,40,0,0.0,29,3,0.896551724137931,0.12534818941504178,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.15000000000000002,1436,40,0,0.0,29,3,0.896551724137931,0.14972144846796656,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.17500000000000002,1436,40,0,0.0,29,3,0.896551724137931,0.17479108635097493,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.2,1436,40,1,0.025,29,4,0.8620689655172413,0.1998607242339833,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.225,1436,40,1,0.025,29,5,0.8275862068965517,0.22493036211699163,0.5055710306406686,-27.855153203342617,-27.855153203342617
101,drift,Entropy difference,0.25,1436,40,2,0.05,29,5,0.8275862068965517,0.25,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.275,1436,40,4,0.1,29,6,0.7931034482758621,0.27506963788300837,0.5069637883008357,-13.927576601671309,-13.927576601671309
101,drift,Entropy difference,0.30000000000000004,1436,40,4,0.1,29,6,0.7931034482758621,0.30013927576601673,0.5069637883008357,-13.927576601671309,-13.927576601671309
101,drift,Entropy difference,0.325,1436,40,5,0.125,29,8,0.7241379310344828,0.32520891364902504,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.35000000000000003,1436,40,5,0.125,29,8,0.7241379310344828,0.3502785515320334,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.375,1436,40,5,0.125,29,8,0.7241379310344828,0.3746518105849582,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.4,1436,40,5,0.125,29,8,0.7241379310344828,0.3997214484679666,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.42500000000000004,1436,40,5,0.125,29,8,0.7241379310344828,0.42479108635097496,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.45,1436,40,5,0.125,29,8,0.7241379310344828,0.44986072423398327,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.47500000000000003,1436,40,6,0.15,29,11,0.6206896551724138,0.47493036211699163,0.504874651810585,-34.81894150417827,-34.81894150417827
101,drift,Entropy difference,0.5,1436,40,6,0.15,29,11,0.6206896551724138,0.5,0.504874651810585,-34.81894150417827,-34.81894150417827
101,drift,Entropy difference,0.525,1436,40,7,0.175,29,12,0.5862068965517242,0.5250696378830083,0.504874651810585,-34.81894150417827,-34.81894150417827
101,drift,Entropy difference,0.55,1436,40,7,0.175,29,14,0.5172413793103448,0.5501392757660167,0.5034818941504178,-48.74651810584958,-48.74651810584958
101,drift,Entropy difference,0.5750000000000001,1436,40,9,0.225,29,14,0.5172413793103448,0.575208913649025,0.504874651810585,-34.81894150417827,-34.81894150417827
101,drift,Entropy difference,0.6000000000000001,1436,40,10,0.25,29,14,0.5172413793103448,0.6002785515320335,0.5055710306406686,-27.855153203342617,-27.855153203342617
101,drift,Entropy difference,0.625,1436,40,11,0.275,29,16,0.4482758620689655,0.6253481894150418,0.504874651810585,-34.81894150417827,-34.81894150417827
101,drift,Entropy difference,0.65,1436,40,12,0.3,29,16,0.4482758620689655,0.6497214484679665,0.5055710306406686,-27.855153203342617,-27.855153203342617
101,drift,Entropy difference,0.675,1436,40,13,0.325,29,16,0.4482758620689655,0.674791086350975,0.5062674094707521,-20.891364902506965,-20.891364902506965
101,drift,Entropy difference,0.7000000000000001,1436,40,15,0.375,29,16,0.4482758620689655,0.6998607242339833,0.5076601671309192,-6.963788300835654,-6.963788300835654
101,drift,Entropy difference,0.7250000000000001,1436,40,18,0.45,29,17,0.4137931034482759,0.7249303621169917,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Entropy difference,0.75,1436,40,21,0.525,29,18,0.3793103448275862,0.75,0.5104456824512534,20.891364902506965,20.891364902506965
101,drift,Entropy difference,0.775,1436,40,21,0.525,29,18,0.3793103448275862,0.7750696378830083,0.5104456824512534,20.891364902506965,20.891364902506965
101,drift,Entropy difference,0.8,1436,40,23,0.575,29,19,0.3448275862068966,0.8001392757660167,0.5111420612813371,27.855153203342617,27.855153203342617
101,drift,Entropy difference,0.8250000000000001,1436,40,25,0.625,29,21,0.27586206896551724,0.825208913649025,0.5111420612813371,27.855153203342617,27.855153203342617
101,drift,Entropy difference,0.8500000000000001,1436,40,30,0.75,29,22,0.24137931034482762,0.8502785515320335,0.5139275766016713,55.710306406685234,55.710306406685234
101,drift,Entropy difference,0.875,1436,40,32,0.8,29,23,0.2068965517241379,0.8746518105849582,0.5146239554317549,62.674094707520894,62.674094707520894
101,drift,Entropy difference,0.9,1436,40,39,0.975,29,24,0.1724137931034483,0.8997214484679665,0.5188022284122563,104.45682451253482,104.45682451253482
101,drift,Entropy difference,0.925,1436,40,39,0.975,29,26,0.10344827586206895,0.924791086350975,0.5174094707520891,90.5292479108635,90.5292479108635
101,drift,Entropy difference,0.9500000000000001,1436,40,39,0.975,29,27,0.06896551724137934,0.9498607242339833,0.5167130919220055,83.56545961002786,83.56545961002786
101,drift,Entropy difference,0.9750000000000001,1436,40,40,1.0,29,28,0.03448275862068961,0.9749303621169917,0.5167130919220055,83.56545961002786,83.56545961002786
101,drift,Entropy difference,1.0,1436,40,40,1.0,29,29,0.0,1.0,0.516016713091922,76.6016713091922,76.6016713091922
101,drift,Logit-margin difference,0.0,1436,40,0,0.0,29,0,1.0,0.0,0.5083565459610028,0.0,0.0
101,drift,Logit-margin difference,0.025,1436,40,3,0.075,29,2,0.9310344827586207,0.025069637883008356,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Logit-margin difference,0.05,1436,40,4,0.1,29,2,0.9310344827586207,0.05013927576601671,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.07500000000000001,1436,40,6,0.15,29,2,0.9310344827586207,0.07520891364902507,0.5111420612813371,27.855153203342617,27.855153203342617
101,drift,Logit-margin difference,0.1,1436,40,7,0.175,29,3,0.896551724137931,0.10027855153203342,0.5111420612813371,27.855153203342617,27.855153203342617
101,drift,Logit-margin difference,0.125,1436,40,7,0.175,29,3,0.896551724137931,0.12534818941504178,0.5111420612813371,27.855153203342617,27.855153203342617
101,drift,Logit-margin difference,0.15000000000000002,1436,40,10,0.25,29,4,0.8620689655172413,0.14972144846796656,0.5125348189415042,41.78272980501393,41.78272980501393
101,drift,Logit-margin difference,0.17500000000000002,1436,40,10,0.25,29,8,0.7241379310344828,0.17479108635097493,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.2,1436,40,10,0.25,29,9,0.6896551724137931,0.1998607242339833,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Logit-margin difference,0.225,1436,40,10,0.25,29,9,0.6896551724137931,0.22493036211699163,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Logit-margin difference,0.25,1436,40,10,0.25,29,10,0.6551724137931034,0.25,0.5083565459610028,0.0,0.0
101,drift,Logit-margin difference,0.275,1436,40,12,0.3,29,11,0.6206896551724138,0.27506963788300837,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Logit-margin difference,0.30000000000000004,1436,40,13,0.325,29,13,0.5517241379310345,0.30013927576601673,0.5083565459610028,0.0,0.0
101,drift,Logit-margin difference,0.325,1436,40,16,0.4,29,13,0.5517241379310345,0.32520891364902504,0.5104456824512534,20.891364902506965,20.891364902506965
101,drift,Logit-margin difference,0.35000000000000003,1436,40,16,0.4,29,13,0.5517241379310345,0.3502785515320334,0.5104456824512534,20.891364902506965,20.891364902506965
101,drift,Logit-margin difference,0.375,1436,40,16,0.4,29,13,0.5517241379310345,0.3746518105849582,0.5104456824512534,20.891364902506965,20.891364902506965
101,drift,Logit-margin difference,0.4,1436,40,16,0.4,29,14,0.5172413793103448,0.3997214484679666,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.42500000000000004,1436,40,16,0.4,29,14,0.5172413793103448,0.42479108635097496,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.45,1436,40,16,0.4,29,14,0.5172413793103448,0.44986072423398327,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.47500000000000003,1436,40,16,0.4,29,14,0.5172413793103448,0.47493036211699163,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.5,1436,40,16,0.4,29,14,0.5172413793103448,0.5,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.525,1436,40,16,0.4,29,14,0.5172413793103448,0.5250696378830083,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.55,1436,40,16,0.4,29,14,0.5172413793103448,0.5501392757660167,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.5750000000000001,1436,40,16,0.4,29,14,0.5172413793103448,0.575208913649025,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.6000000000000001,1436,40,16,0.4,29,14,0.5172413793103448,0.6002785515320335,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.625,1436,40,16,0.4,29,14,0.5172413793103448,0.6253481894150418,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.65,1436,40,16,0.4,29,14,0.5172413793103448,0.6497214484679665,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.675,1436,40,16,0.4,29,14,0.5172413793103448,0.674791086350975,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.7000000000000001,1436,40,17,0.425,29,15,0.48275862068965514,0.6998607242339833,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Logit-margin difference,0.7250000000000001,1436,40,17,0.425,29,16,0.4482758620689655,0.7249303621169917,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Logit-margin difference,0.75,1436,40,17,0.425,29,17,0.4137931034482759,0.75,0.5083565459610028,0.0,0.0
101,drift,Logit-margin difference,0.775,1436,40,17,0.425,29,17,0.4137931034482759,0.7750696378830083,0.5083565459610028,0.0,0.0
101,drift,Logit-margin difference,0.8,1436,40,17,0.425,29,18,0.3793103448275862,0.8001392757660167,0.5076601671309192,-6.963788300835654,-6.963788300835654
101,drift,Logit-margin difference,0.8250000000000001,1436,40,21,0.525,29,18,0.3793103448275862,0.825208913649025,0.5104456824512534,20.891364902506965,20.891364902506965
101,drift,Logit-margin difference,0.8500000000000001,1436,40,22,0.55,29,19,0.3448275862068966,0.8502785515320335,0.5104456824512534,20.891364902506965,20.891364902506965
101,drift,Logit-margin difference,0.875,1436,40,23,0.575,29,19,0.3448275862068966,0.8746518105849582,0.5111420612813371,27.855153203342617,27.855153203342617
101,drift,Logit-margin difference,0.9,1436,40,24,0.6,29,23,0.2068965517241379,0.8997214484679665,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Logit-margin difference,0.925,1436,40,29,0.725,29,24,0.1724137931034483,0.924791086350975,0.5118384401114207,34.81894150417827,34.81894150417827
101,drift,Logit-margin difference,0.9500000000000001,1436,40,32,0.8,29,25,0.13793103448275867,0.9498607242339833,0.5132311977715878,48.74651810584958,48.74651810584958
101,drift,Logit-margin difference,0.9750000000000001,1436,40,36,0.9,29,26,0.10344827586206895,0.9749303621169917,0.5153203342618384,69.63788300835654,69.63788300835654
101,drift,Logit-margin difference,1.0,1436,40,40,1.0,29,29,0.0,1.0,0.516016713091922,76.6016713091922,76.6016713091922
101,drift,Random,0.0,1436,40,0,0.0,29,0,1.0,0.0,0.5083565459610028,0.0,0.0
101,drift,Random,0.025,1436,40,0,0.0,29,1,0.9655172413793104,0.025069637883008356,0.5076601671309192,-6.963788300835654,-6.963788300835654
101,drift,Random,0.05,1436,40,2,0.05,29,2,0.9310344827586207,0.05013927576601671,0.5083565459610028,0.0,0.0
101,drift,Random,0.07500000000000001,1436,40,4,0.1,29,2,0.9310344827586207,0.07520891364902507,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Random,0.1,1436,40,4,0.1,29,3,0.896551724137931,0.10027855153203342,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Random,0.125,1436,40,5,0.125,29,3,0.896551724137931,0.12534818941504178,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Random,0.15000000000000002,1436,40,5,0.125,29,4,0.8620689655172413,0.14972144846796656,0.5090529247910863,6.963788300835654,6.963788300835654
101,drift,Random,0.17500000000000002,1436,40,6,0.15,29,4,0.8620689655172413,0.17479108635097493,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Random,0.2,1436,40,7,0.175,29,5,0.8275862068965517,0.1998607242339833,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Random,0.225,1436,40,7,0.175,29,5,0.8275862068965517,0.22493036211699163,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Random,0.25,1436,40,7,0.175,29,5,0.8275862068965517,0.25,0.5097493036211699,13.927576601671309,13.927576601671309
101,drift,Random,0.275,1436,40,9,0.225,29,6,0.7931034482758621,0.27506963788300837,0.5104456824512534,20.891364902506965,20.891364902506965
101,drift,Random,0.30000000000000004,1436,40,10,0.25,29,6,0.7931034482758621,0.30013927576601673,0.5111420612813371,27.855153203342617,27.855153203342617
101,drift,Random,0.325,1436,40,12,0.3,29,7,0.7586206896551724,0.32520891364902504,0.5118384401114207,34.81894150417827,34.81894150417827
101,drift,Random,0.35000000000000003,1436,40,13,0.325,29,7,0.7586206896551724,0.3502785515320334,0.5125348189415042,41.78272980501393,41.78272980501393
101,drift,Random,0.375,1436,40,14,0.35,29,7,0.7586206896551724,0.3746518105849582,0.5132311977715878,48.74651810584958,48.74651810584958
101,drift,Random,0.4,1436,40,14,0.35,29,7,0.7586206896551724,0.3997214484679666,0.5132311977715878,48.74651810584958,48.74651810584958
101,drift,Random,0.42500000000000004,1436,40,16,0.4,29,7,0.7586206896551724,0.42479108635097496,0.5146239554317549,62.674094707520894,62.674094707520894
101,drift,Random,0.45,1436,40,19,0.475,29,7,0.7586206896551724,0.44986072423398327,0.5167130919220055,83.56545961002786,83.56545961002786
101,drift,Random,0.47500000000000003,1436,40,20,0.5,29,9,0.6896551724137931,0.47493036211699163,0.516016713091922,76.6016713091922,76.6016713091922
101,drift,Random,0.5,1436,40,20,0.5,29,10,0.6551724137931034,0.5,0.5153203342618384,69.63788300835654,69.63788300835654
101,drift,Random,0.525,1436,40,21,0.525,29,11,0.6206896551724138,0.5250696378830083,0.5153203342618384,69.63788300835654,69.63788300835654
101,drift,Random,0.55,1436,40,22,0.55,29,12,0.5862068965517242,0.5501392757660167,0.5153203342618384,69.63788300835654,69.63788300835654
101,drift,Random,0.5750000000000001,1436,40,24,0.6,29,12,0.5862068965517242,0.575208913649025,0.5167130919220055,83.56545961002786,83.56545961002786
101,drift,Random,0.6000000000000001,1436,40,25,0.625,29,12,0.5862068965517242,0.6002785515320335,0.5174094707520891,90.5292479108635,90.5292479108635
